Company Name, ,Class 10 Percentage,Class 12 Percentage,Graduation Percentage,Degree,Additional Qualifications,Extra Courses,Specialisation,Languages Known,Skills,Past Experience (months),Preferred Work Location,Achievements,Projects,Competitions,Publications,Patents,Internship Stipend (?/month),Internship Duration (months),Department,Internship Type,Contact Email,Contact Phone,Application Deadline
SHARDA CROPCHEM LIMITED,"Mumbai, Maharashtra",90,81.29,58.54,BBA,Oracle Certified,NPTEL: Machine Learning; SAP Basics,Finance,Malayalam; Kannada; Tamil,Python; Machine Learning; Communication,12,"New Delhi, Delhi",Won college hackathon,Mobile app for local services; IoT based monitoring system,Case Study Competition,No publications,Patent on Sensor Design,40,12,Design,Hybrid,kairachoudhry@amble.org,5931898288,2026-02-12
PIRAMAL PHARMA LIMITED,"Kolkata, West Bengal",68,99.13,74.11,B.Tech,Certified Data Analyst,None,Finance,Tamil,Machine Learning; Tableau; MS Excel; HTML/CSS; Sales,24,"Gurugram, Haryana",Won college hackathon,NLP sentiment analysis on reviews,Design Challenge Participant,Journal article on Renewable Energy,Patent on Process Optimization,10980,6,Finance,Hybrid,piya65@lall.biz,82725890,2025-12-13
TRIVENI ENGINEERING AND INDUSTRIES LIMITED,"Gurugram, Haryana",73,81.8,51.29,Bsc.,Cisco CCNA,,Electrical,Bengali,MS Excel; HTML/CSS; Machine Learning; C++,0,"Mumbai, Maharashtra",Published a project report,IoT based monitoring system; Energy consumption optimization project,Case Study Competition,Conference Paper on ML,No patents,34999,2,R&D,Onsite,banerjeekashvi@kapadia-tailor.com,6871012188,2025-12-09
NIYOGI ENTERPRISE PRIVATE LIMITED,"Pune, Maharashtra",83,65.2,83.75,Diploma,Certified Data Analyst,NPTEL: Machine Learning; Advanced Excel,Chemical,Telugu; Tamil; Bengali,Java; SQL; Machine Learning,12,"Noida, Uttar Pradesh",Internship at local startup,Supply chain dashboard; Chatbot for FAQs,Coding Contest Top 10,Journal article on Renewable Energy,Patent pending on Algorithm,6288,7,Engineering,Hybrid,bhamini56@sachdev.com,2692893107,2026-03-09
MICROSOFT CORPORATION (INDIA) PVT LTD,"Visakhapatnam, Andhra Pradesh",84,56.95,51.23,B.E.,Certified Data Analyst,None,Chemical,Oriya; Malayalam,Communication; Java,6,"Ahmedabad, Gujarat",Published a project report,Customer segmentation analysis; Energy consumption optimization project,Hackathon Winner,Whitepaper on Supply Chain,Patent on Sensor Design,20242,4,Finance,Hybrid,sara84@sankaran.biz,5498983278,2026-02-22
FIAT INDIA AUTOMOBILES PRIVATE LIMITED,"Pune, Maharashtra",72,80.6,79.13,BBA,Lean Six Sigma Yellow Belt,Udemy: Web Development; AWS Fundamentals,Civil,Hindi,MS Excel; JavaScript; C++,24,"Lucknow, Uttar Pradesh",Published a project report,Mobile app for local services,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Sensor Design,26725,4,R&D,Onsite,vivaan65@singh.com,6103969230,2026-02-16
MERCEDES-BENZ RESEARCH AND DEVELOPMENT INDIA PRIVATE LIMITED,"Bhopal, Madhya Pradesh",62,80.77,76.54,Diploma,Cisco CCNA,None,Chemical,Telugu; Kannada; Tamil,Data Analysis; Marketing; C++,24,"Ahmedabad, Gujarat",No notable achievements,E-commerce recommendation engine,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Process Optimization,21087,11,R&D,Hybrid,gokul47@biswas.com,4599304375,2026-02-25
CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED,"Thiruvananthapuram, Kerala",67,93.87,55.63,B.A.,None,,Civil,Kannada; Malayalam,Power BI; Marketing; Python,0,"Visakhapatnam, Andhra Pradesh",Published a project report,E-commerce recommendation engine; Energy consumption optimization project,Case Study Competition,Journal article on Renewable Energy,No patents,8863,5,R&D,Onsite,rswaminathan@bobal-mandal.com,9623824849,2025-12-25
ASIAN FAB TEC LIMITED,"Jaipur, Rajasthan",91,97.13,68.84,B.Sc.,None,Google: Digital Marketing,Electrical,Malayalam; Kannada; Marathi,Machine Learning; Problem Solving,24,"Hyderabad, Telangana",Internship at local startup,Automated invoice processing; Customer segmentation analysis,Design Challenge Participant,Journal article on Renewable Energy,Patent on Process Optimization,5064,4,Marketing,Onsite,nehmatchaudhry@chanda.com,1115364962,2026-02-15
SIGNIFY INNOVATIONS INDIA LIMITED,"Noida, Uttar Pradesh",84,88.35,67.77,Diploma,Financial Modeling Certificate,None,Biotechnology,Telugu; Gujarati,C++; Customer Service; SQL,24,"Visakhapatnam, Andhra Pradesh",Published a project report,Automated invoice processing; Mobile app for local services,Design Challenge Participant,Conference Paper on ML,Patent on Sensor Design,34604,5,IT,Hybrid,tkata@jaggi.com,3534922245,2025-12-18
SARDA ENERGY & MINERALS LIMITED,"Noida, Uttar Pradesh",94,57.93,56.87,B.Com,None,Advanced Excel; Udemy: Web Development,Finance,English; Telugu,Marketing; HTML/CSS; C++; Tableau,24,"Mumbai, Maharashtra",No notable achievements,Chatbot for FAQs; Energy consumption optimization project,Coding Contest Top 10,Journal article on Renewable Energy,Patent on Sensor Design,12556,8,IT,Onsite,yashviiyengar@kale-bedi.com,3278576641,2026-01-20
PAGE INDUSTRIES LIMITED,"New Delhi, Delhi",61,75.69,63.58,B.A.,None,AWS Fundamentals; NPTEL: Machine Learning,Mechanical,English; Telugu,Sales; Python,6,"Jaipur, Rajasthan",Published a project report,Mobile app for local services; Chatbot for FAQs,Coding Contest Top 10,Journal article on Renewable Energy,Patent on Process Optimization,10532,6,R&D,Onsite,armaan55@dave.biz,6522516253,2025-11-20
SAVEX TECHNOLOGIES PRIVATE LIMITED,"Noida, Uttar Pradesh",76,62.73,84.08,BBA,Oracle Certified,AWS Fundamentals; Udemy: Web Development,Electronics,Oriya,Tableau; Customer Service; Machine Learning,12,"Chennai, Tamil Nadu",Won college hackathon,Automated invoice processing; NLP sentiment analysis on reviews,Case Study Competition,Journal article on Renewable Energy,Patent on Sensor Design,19958,7,Consulting,Hybrid,indranil94@sinha.com,3275448830,2025-12-05
SCHNEIDER ELECTRIC IT BUSINESS INDIA PRIVATE LIMITED,"Noida, Uttar Pradesh",60,76.62,70.73,B.A.,Oracle Certified,AWS Fundamentals; Google: Digital Marketing,Computer Science,Malayalam; Oriya,Python; Machine Learning; R; Tableau,0,"Ahmedabad, Gujarat",Internship at local startup,IoT based monitoring system; Automated invoice processing,None,Whitepaper on Supply Chain,Patent pending on Algorithm,24305,3,Finance,Remote,wadhwamohanlal@khosla-sarna.com,4321947071,2025-12-10
THE DHAMRA PORT COMPANY LIMITED,"Thiruvananthapuram, Kerala",94,69.59,68.23,B.Com,Certified Data Analyst,SAP Basics; Coursera: Data Science,Biotechnology,Kannada; English; Tamil,R; Tableau; Sales,0,"Lucknow, Uttar Pradesh",No notable achievements,Supply chain dashboard,Case Study Competition,Whitepaper on Supply Chain,Patent on Process Optimization,25447,10,R&D,Onsite,aarna60@ravel.com,373956618,2025-11-18
ROMA BUILDERS PRIVATE LIMITED,"Gurugram, Haryana",90,90.68,51.57,Diploma,Financial Modeling Certificate,SAP Basics,Biotechnology,Kannada,Customer Service; SQL,12,"Lucknow, Uttar Pradesh",Developed a forecasting model,Customer segmentation analysis; Sales forecasting model,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Sensor Design,23669,4,Design,Onsite,adira05@banik.com,666001827,2026-02-16
DR. LAL PATHLABS LIMITED,"Bhopal, Madhya Pradesh",76,66.24,78.34,B.E.,Cisco CCNA,IBM: Data Analyst,Electrical,Oriya; Tamil,Customer Service; SQL; HTML/CSS,6,"Hyderabad, Telangana",Won college hackathon,Sales forecasting model,Case Study Competition,Magazine article on Finance,Patent pending on Algorithm,20083,9,Engineering,Remote,nehmat92@lal.com,2022551530,2025-12-03
SUMITOMO CHEMICAL INDIA LIMITED,"Chennai, Tamil Nadu",62,98.04,58.77,B.E.,Cisco CCNA,Advanced Excel,Electronics,Oriya; Hindi,Data Analysis; Communication,24,"Mumbai, Maharashtra",Published a project report,Mobile app for local services,Design Challenge Participant,Whitepaper on Supply Chain,Patent on Sensor Design,29815,7,R&D,Onsite,stuvanbains@vohra.com,381116796,2026-03-06
CREDIT SUISSE SERVICES (INDIA) PRIVATE LIMITED,"Mumbai, Maharashtra",100,89.67,69.67,B.E.,Certified Data Analyst,AWS Fundamentals; Coursera: Data Science,Electrical,Bengali; English; Telugu,SQL; Java; R; JavaScript,0,"Lucknow, Uttar Pradesh",No notable achievements,Energy consumption optimization project,None,Journal article on Renewable Energy,Patent on Sensor Design,7328,11,Engineering,Onsite,zkakar@de.com,6748074045,2025-11-27
ASTRAL LIMITED,"Bengaluru, Karnataka",0,65.85,78.32,Diploma,None,Google: Digital Marketing; NPTEL: Machine Learning,Computer Science,Telugu; Bengali; English,Power BI; Tableau,0,"Hyderabad, Telangana",Developed a forecasting model,Mobile app for local services,Coding Contest Top 10,Whitepaper on Supply Chain,No patents,25976,12,Design,Onsite,bbutala@dalia.org,8427814868,2025-11-22
AVANTI FEEDS LIMITED,"Gurugram, Haryana",92,99.6,82.53,B.Tech,None,,Civil,Kannada; Telugu,Communication; SQL; Data Analysis,0,"Jaipur, Rajasthan",Developed a forecasting model,Energy consumption optimization project; Supply chain dashboard,Case Study Competition,Journal article on Renewable Energy,No patents,55,1,R&D,Hybrid,eshani53@lad.com,103877859,2026-02-12
KAMARAJAR PORT LIMITED,"Hyderabad, Telangana",94,98.4,84.18,B.Tech,Oracle Certified,,Electronics,Punjabi; Bengali; Tamil,C++; Sales,6,"Lucknow, Uttar Pradesh",Won college hackathon,NLP sentiment analysis on reviews,Business Plan Runner-up,Magazine article on Finance,Patent pending on Algorithm,20348,9,Marketing,Hybrid,samarsoni@mand.com,6178439435,2025-11-12
KHAZANA JEWELLERY PRIVATE LIMITED,"Thiruvananthapuram, Kerala",68,76.08,69.47,BBA,Oracle Certified,IBM: Data Analyst; Advanced Excel,Computer Science,Malayalam; Bengali; Hindi,HTML/CSS; R,6,"Pune, Maharashtra",Internship at local startup,IoT based monitoring system,Case Study Competition,No publications,Patent on Process Optimization,10550,8,Design,Onsite,manjari58@khurana.com,6069954164,2025-12-22
STAR CEMENT LIMITED,"Thiruvananthapuram, Kerala",67,61.18,82.13,B.Sc.,Lean Six Sigma Yellow Belt,AWS Fundamentals,Computer Science,Malayalam,Communication; R,12,"Chennai, Tamil Nadu",Internship at local startup,Chatbot for FAQs,Hackathon Winner,Whitepaper on Supply Chain,Patent pending on Algorithm,11859,5,Operations,Remote,amani03@buch.net,2950329636,2025-12-14
ADANI SOLAR ENERGY AP SIX PRIVATE LIMITED,"New Delhi, Delhi",81,60.65,57.12,B.Tech,Oracle Certified,NPTEL: Machine Learning; Coursera: Data Science,Computer Science,Hindi; Telugu,HTML/CSS; Machine Learning; SQL,24,"Visakhapatnam, Andhra Pradesh",Won college hackathon,E-commerce recommendation engine,Coding Contest Top 10,Journal article on Renewable Energy,Patent on Process Optimization,11228,10,Finance,Hybrid,ela00@dewan.biz,2099994711,2026-02-16
HARI KRISHNA EXPORTS PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh",81,89.32,84.96,B.Tech,Financial Modeling Certificate,,Electronics,Kannada; Tamil; Bengali,Machine Learning; Communication; JavaScript,24,"Noida, Uttar Pradesh",Developed a forecasting model,IoT based monitoring system; Customer segmentation analysis,Business Plan Runner-up,No publications,Patent on Sensor Design,23712,3,Data Analytics,Hybrid,nitara27@chakraborty.info,4367882080,2026-01-25
POLYPLEX CORPORATION LIMITED,"Thiruvananthapuram, Kerala",64,61.48,83.38,B.Sc.,Oracle Certified,Google: Digital Marketing; Advanced Excel,Finance,Malayalam,Customer Service; Communication; Python; JavaScript; Machine Learning,0,"Kolkata, West Bengal",Published a project report,E-commerce recommendation engine,Business Plan Runner-up,No publications,Patent on Sensor Design,17360,11,Data Analytics,Hybrid,sandhuyuvaan@brahmbhatt.info,42442173,2026-02-04
RASHMI METALIKS LIMITED,"Bhopal, Madhya Pradesh",60,55.23,82.96,B.Sc.,Cisco CCNA,Udemy: Web Development,Chemical,Telugu; Bengali,Data Analysis; SQL; MS Excel,12,"Mumbai, Maharashtra",Developed a forecasting model,E-commerce recommendation engine,Hackathon Winner,Journal article on Renewable Energy,No patents,20589,5,Data Analytics,Remote,whari@soman.com,894597632,2026-03-08
GUJARAT PIPAVAV PORT LIMITED,"Visakhapatnam, Andhra Pradesh",77,63.35,74.27,B.Com,Lean Six Sigma Yellow Belt,NPTEL: Machine Learning; SAP Basics,Marketing,Oriya; Bengali,SQL; Marketing; Python; C++,0,"Pune, Maharashtra",Won college hackathon,IoT based monitoring system,None,Magazine article on Finance,Patent on Process Optimization,24874,8,Data Analytics,Onsite,alia67@datta-loke.com,95049696,2025-10-16
WEST BENGALSTATE ELECTRICITY TRANSMISSION COMPANY LIMITED,"Gurugram, Haryana",74,55.99,54.51,Diploma,None,,Data Science,Bengali; Punjabi,Problem Solving; C++; Machine Learning,12,"Thiruvananthapuram, Kerala",No notable achievements,Supply chain dashboard,Case Study Competition,Whitepaper on Supply Chain,Patent on Sensor Design,16121,8,Consulting,Remote,rashadesai@thakkar.com,1753481320,2025-11-30
HATSUN AGRO PRODUCT LIMITED,"Chennai, Tamil Nadu",75,76.75,74.35,B.Tech,None,SAP Basics; AWS Fundamentals,Chemical,English; Gujarati; Marathi,Sales; Machine Learning; Power BI; Problem Solving; R,6,"Bengaluru, Karnataka",Published a project report,Chatbot for FAQs; Customer segmentation analysis,Coding Contest Top 10,No publications,Patent on Process Optimization,5084,7,Consulting,Hybrid,gbalay@hari.org,7354255404,2026-02-20
FIVE-STAR BUSINESS FINANCE LIMITED,"Gurugram, Haryana",67,78.49,71.65,B.Tech,Lean Six Sigma Yellow Belt,Advanced Excel; NPTEL: Machine Learning,Mechanical,Gujarati,JavaScript; Communication; Java; Data Analysis,0,"Visakhapatnam, Andhra Pradesh",No notable achievements,Customer segmentation analysis,Math Olympiad State Level,Journal article on Renewable Energy,Patent on Sensor Design,23676,5,HR,Remote,vivaanbakshi@bhargava.info,7647820190,2025-11-21
ITC INFOTECH INDIA LIMITED,"Hyderabad, Telangana",96,95.04,84.62,B.A.,Certified Data Analyst,None,Electronics,English; Kannada,JavaScript; Java,0,"Jaipur, Rajasthan",Internship at local startup,Energy consumption optimization project,Business Plan Runner-up,Whitepaper on Supply Chain,No patents,12122,1,Consulting,Hybrid,elakshiloke@chopra.com,724026831,2025-12-22
IIFL FINANCE LIMITED,"Noida, Uttar Pradesh",87,64.89,56.49,B.A.,Certified Data Analyst,IBM: Data Analyst,Marketing,Bengali; Kannada; English,Data Analysis; Marketing,0,"Bengaluru, Karnataka",Published a project report,Sales forecasting model; Chatbot for FAQs,Coding Contest Top 10,Whitepaper on Supply Chain,Patent on Process Optimization,8536,3,Marketing,Onsite,aaryahi89@hayer.com,2324440956,2026-01-09
HALDIRAM FOODS INTERNATIONAL PRIVATE LIMITED,"Kolkata, West Bengal",77,74.93,82.34,B.Tech,Lean Six Sigma Yellow Belt,,Electrical,Bengali; Oriya,Tableau; Customer Service,0,"Lucknow, Uttar Pradesh",Published a project report,NLP sentiment analysis on reviews,Coding Contest Top 10,Journal article on Renewable Energy,Patent on Sensor Design,13407,11,Data Analytics,Remote,hedwin@rege.com,1738069973,2025-11-12
DBS BANK INDIA LIMITED,"Ahmedabad, Gujarat",61,61.47,59.08,Bsc.,None,Udemy: Web Development; Coursera: Data Science,Marketing,Bengali; Gujarati; Punjabi,Java; Customer Service; MS Excel,0,"Visakhapatnam, Andhra Pradesh",Developed a forecasting model,Energy consumption optimization project; Customer segmentation analysis,None,Conference Paper on ML,Patent on Sensor Design,5388,8,Engineering,Hybrid,bcomar@sekhon.com,1020154929,2026-03-04
BRIGADE ENTERPRISES LIMITED,"New Delhi, Delhi",95,99.06,71.94,Diploma,Oracle Certified,None,Mechanical,Marathi,Python; C++; R; Java,0,"Hyderabad, Telangana",Won college hackathon,IoT based monitoring system; Energy consumption optimization project,Design Challenge Participant,Conference Paper on ML,Patent on Process Optimization,20308,3,Marketing,Hybrid,pari32@babu.com,21139781,2025-12-22
BATA INDIA LTD,"Jaipur, Rajasthan",65,88.06,79.46,B.Com,None,SAP Basics,Electrical,Marathi; Telugu,MS Excel; Customer Service,12,"New Delhi, Delhi",Published a project report,NLP sentiment analysis on reviews,Case Study Competition,Conference Paper on ML,No patents,14536,10,Operations,Remote,dhanuk96@doctor.com,142900983,2026-01-04
OBEROI REALTY LIMITED,"Kolkata, West Bengal",95,82.1,82.64,B.Com,Lean Six Sigma Yellow Belt,None,Biotechnology,Kannada; Punjabi,HTML/CSS; Communication; Sales,0,"Noida, Uttar Pradesh",Internship at local startup,Automated invoice processing,Coding Contest Top 10,Conference Paper on ML,Patent on Process Optimization,17688,9,Data Analytics,Hybrid,rdube@rajagopal-gala.info,4169392260,2026-02-06
FORTIS HEALTHCARE LIMITED,"Chennai, Tamil Nadu",85,75.9,59.84,B.Tech,Certified Data Analyst,None,Mechanical,Malayalam; Hindi; Telugu,Customer Service; Sales; Data Analysis; Marketing; Communication,24,"Hyderabad, Telangana",Published a project report,Chatbot for FAQs,Hackathon Winner,Conference Paper on ML,Patent on Process Optimization,32393,12,Data Analytics,Onsite,shamik65@sinha.com,4181134321,2026-02-16
INTERGLOBE AVIATION LIMITED,"Lucknow, Uttar Pradesh",91,98.6,58.43,Diploma,Certified Data Analyst,None,Electronics,Punjabi; Malayalam; English,JavaScript; Problem Solving; C++; Machine Learning,6,"Hyderabad, Telangana",Won college hackathon,Customer segmentation analysis; Mobile app for local services,None,Conference Paper on ML,Patent on Process Optimization,23899,5,Engineering,Hybrid,comarprerak@lalla.info,1676161950,2026-01-23
JOYALUKKAS INDIA LIMITED,"Bengaluru, Karnataka",95,74.58,63.64,B.E.,Financial Modeling Certificate,,Electrical,Telugu; Marathi,JavaScript; HTML/CSS,0,"Gurugram, Haryana",Won college hackathon,IoT based monitoring system; Supply chain dashboard,Math Olympiad State Level,Conference Paper on ML,No patents,8293,1,Data Analytics,Remote,rattipiya@bhatia.biz,6000114958,2025-10-23
KALYAN JEWELLERS INDIA LIMITED,"Ahmedabad, Gujarat",98,88.75,63.71,Diploma,Cisco CCNA,,Finance,Punjabi; Marathi; Gujarati,HTML/CSS; Java,6,"Bhopal, Madhya Pradesh",No notable achievements,E-commerce recommendation engine; Energy consumption optimization project,Math Olympiad State Level,No publications,No patents,25905,7,IT,Onsite,divijdeo@sarkar.info,8121331356,2026-01-10
CESC LTD,"Bhopal, Madhya Pradesh",73,65.14,86.45,B.Tech,Lean Six Sigma Yellow Belt,None,Electrical,Telugu; English,Problem Solving; Customer Service,0,"New Delhi, Delhi",Developed a forecasting model,Energy consumption optimization project; Supply chain dashboard,Design Challenge Participant,No publications,No patents,13581,10,Consulting,Remote,ratwal@ganguly.com,8696673962,2025-11-05
METRO BRANDS LIMITED,"Gurugram, Haryana",88,94.38,50.89,B.Sc.,Cisco CCNA,Coursera: Data Science,Electrical,Telugu; Marathi; Oriya,SQL; Tableau; Power BI,24,"Hyderabad, Telangana",Internship at local startup,Chatbot for FAQs,Design Challenge Participant,Magazine article on Finance,Patent on Sensor Design,26572,7,IT,Remote,mgole@sani.com,6673663641,2025-11-25
MAYUR UNIQUOTERS LIMITED,"Lucknow, Uttar Pradesh",70,80.99,61.71,B.Com,Financial Modeling Certificate,SAP Basics,Civil,Bengali; English,Tableau; Data Analysis,0,"Jaipur, Rajasthan",Published a project report,Energy consumption optimization project; NLP sentiment analysis on reviews,None,Magazine article on Finance,Patent on Sensor Design,8304,10,Engineering,Remote,dharmajan72@sem.com,7246155575,2025-11-26
OMEGA HEALTHCARE MANAGEMENT SERVICES PRIVATE LIMITED,"Lucknow, Uttar Pradesh",64,99.81,51.03,B.Sc.,Oracle Certified,,Chemical,English,Data Analysis; Communication; SQL; Tableau; Power BI,24,"Visakhapatnam, Andhra Pradesh",Developed a forecasting model,Mobile app for local services,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Sensor Design,7364,5,Engineering,Onsite,yakshitbhalla@garg.com,22063862,2026-02-09
PC JEWELLER LIMITED,"New Delhi, Delhi",99,83.63,52.25,B.A.,Oracle Certified,IBM: Data Analyst; AWS Fundamentals,Biotechnology,Bengali; Gujarati; Telugu,Machine Learning; Power BI; C++,0,"Gurugram, Haryana",No notable achievements,IoT based monitoring system,None,Magazine article on Finance,Patent on Process Optimization,14662,12,IT,Onsite,adira98@srivastava.com,3369984687,2025-12-29
ASTRAZENECA PHARMA INDIA LIMITED,"Noida, Uttar Pradesh",63,84.25,89.01,B.A.,Oracle Certified,NPTEL: Machine Learning,Chemical,Oriya,R; Marketing; Power BI,0,"Thiruvananthapuram, Kerala",Published a project report,Automated invoice processing; Energy consumption optimization project,Coding Contest Top 10,Magazine article on Finance,Patent pending on Algorithm,15339,4,HR,Onsite,catwal@khanna-rege.com,3840346,2026-01-07
STERLITE POWER TRANSMISSION LIMITED,"Visakhapatnam, Andhra Pradesh",0,96.13,87.45,B.Tech,Financial Modeling Certificate,,Finance,Gujarati; Kannada,C++; JavaScript; Java; SQL,6,"Bengaluru, Karnataka",Developed a forecasting model,Customer segmentation analysis; Sales forecasting model,Business Plan Runner-up,Journal article on Renewable Energy,Patent pending on Algorithm,27299,6,Marketing,Remote,keeremir@shroff.net,7839541062,2025-10-14
ASTER DM HEALTHCARE LIMITED,"Pune, Maharashtra",98,62.43,59.94,B.Com,None,,Data Science,Hindi; Punjabi; Marathi,SQL; Data Analysis; HTML/CSS; Marketing,24,"Jaipur, Rajasthan",Developed a forecasting model,NLP sentiment analysis on reviews; Supply chain dashboard,Case Study Competition,Whitepaper on Supply Chain,Patent on Sensor Design,33003,10,IT,Hybrid,rashasathe@bhat-sachdeva.com,9417026353,2025-12-02
NARAYANA HRUDAYALAYA LIMITED,"Lucknow, Uttar Pradesh",69,60.93,58.18,B.Sc.,Financial Modeling Certificate,AWS Fundamentals; NPTEL: Machine Learning,Computer Science,Kannada,Java; SQL,12,"Bengaluru, Karnataka",No notable achievements,IoT based monitoring system; NLP sentiment analysis on reviews,Design Challenge Participant,Conference Paper on ML,Patent pending on Algorithm,17128,8,Marketing,Remote,sanezaina@mani.com,2216051214,2026-01-20
ICICI HOME FINANCE COMPANY LIMITED,"Kolkata, West Bengal",97,80.78,76.39,Bsc.,None,Google: Digital Marketing,Marketing,Telugu,C++; Python,6,"Bhopal, Madhya Pradesh",Published a project report,Sales forecasting model,Case Study Competition,No publications,Patent on Sensor Design,16881,7,Design,Hybrid,purabkala@khare-kade.info,3349562409,2026-01-01
MIRZA INTERNATIONAL LIMITED,"Noida, Uttar Pradesh",88,60.63,78.17,B.Com,Financial Modeling Certificate,,Data Science,Tamil; Oriya; Gujarati,Communication; Python; C++; Customer Service,12,"Hyderabad, Telangana",No notable achievements,Automated invoice processing,None,Magazine article on Finance,Patent pending on Algorithm,22153,12,Data Analytics,Remote,rhea94@yogi.com,5552460166,2026-01-02
RIYA TRAVEL AND TOURS (INDIA) PRIVATE LIMITED,"Lucknow, Uttar Pradesh",100,77.53,77,Diploma,Certified Data Analyst,SAP Basics,Mechanical,Hindi,JavaScript; Machine Learning; MS Excel,12,"Bengaluru, Karnataka",Developed a forecasting model,Energy consumption optimization project; E-commerce recommendation engine,Math Olympiad State Level,Whitepaper on Supply Chain,Patent on Sensor Design,16627,10,IT,Remote,sbail@dora-gill.org,8199760387,2025-11-03
PUMA SPORTS INDIA PRIVATE LIMITED,"Lucknow, Uttar Pradesh",85,83.15,74.55,B.A.,Lean Six Sigma Yellow Belt,,Computer Science,Kannada; English,JavaScript; R; Python,0,"Chennai, Tamil Nadu",No notable achievements,Mobile app for local services; Energy consumption optimization project,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Process Optimization,13494,6,Design,Onsite,vasachirag@chowdhury.com,9971345635,2026-01-15
NIKE INDIA PRIVATE LIMITED,"New Delhi, Delhi",63,83.2,72.15,B.E.,Certified Data Analyst,None,Computer Science,English,Problem Solving; MS Excel; HTML/CSS,12,"Visakhapatnam, Andhra Pradesh",Published a project report,Automated invoice processing,Design Challenge Participant,Whitepaper on Supply Chain,Patent on Process Optimization,30118,5,R&D,Remote,divyanshsarna@thaker-vala.biz,6020855800,2025-12-24
RADISSON HOTELS (SOUTH ASIA) PRIVATE LIMITED,"Lucknow, Uttar Pradesh",92,73.42,75.99,Bsc.,Lean Six Sigma Yellow Belt,NPTEL: Machine Learning; Google: Digital Marketing,Civil,Oriya; Hindi,MS Excel; Python; Java; Data Analysis; JavaScript,0,"Visakhapatnam, Andhra Pradesh",Won college hackathon,Mobile app for local services,Hackathon Winner,Whitepaper on Supply Chain,Patent pending on Algorithm,8236,11,Operations,Onsite,aarav36@dey.com,1222481972,2026-01-04
MAX HEALTHCARE INSTITUTE LIMITED,"New Delhi, Delhi",77,81.98,58.43,B.A.,Financial Modeling Certificate,,Biotechnology,Malayalam; Hindi; Tamil,MS Excel; Communication,0,"Jaipur, Rajasthan",Won college hackathon,Mobile app for local services; Supply chain dashboard,Business Plan Runner-up,Magazine article on Finance,Patent pending on Algorithm,21149,10,HR,Hybrid,ksethi@suresh.org,9230686673,2026-02-02
EIH ASSOCIATED HOTELS LIMITED,"Pune, Maharashtra",98,79.74,60.21,B.Com,Financial Modeling Certificate,,Chemical,Malayalam; English,Tableau; R; C++; Customer Service,6,"Lucknow, Uttar Pradesh",Internship at local startup,Chatbot for FAQs,Hackathon Winner,Journal article on Renewable Energy,No patents,18196,11,Data Analytics,Onsite,sumer59@kulkarni.info,46231355,2025-11-02
EXPEDIA ONLINE TRAVEL SERVICES INDIA PRIVATE LIMITED,"Gurugram, Haryana",86,98.92,61.03,B.Com,Cisco CCNA,,Chemical,Gujarati; Tamil,MS Excel; Tableau,6,"Mumbai, Maharashtra",Internship at local startup,NLP sentiment analysis on reviews,Design Challenge Participant,Journal article on Renewable Energy,No patents,18083,1,HR,Remote,gyohannan@kata.com,3634896,2025-12-02
TRIBHOVANDAS BHIMJI ZAVERI LIMITED,"Bhopal, Madhya Pradesh",98,78.84,80.95,B.A.,Financial Modeling Certificate,IBM: Data Analyst; Google: Digital Marketing,Electrical,Hindi,Power BI; Python; R; Sales,0,"Kolkata, West Bengal",Published a project report,Sales forecasting model; NLP sentiment analysis on reviews,None,Conference Paper on ML,No patents,8638,6,Design,Onsite,nthakur@amble.net,116813221,2025-12-22
MANIPAL HOSPITALS PRIVATE LIMITED,"Gurugram, Haryana",99,70.64,84.57,Bsc.,Lean Six Sigma Yellow Belt,,Computer Science,Punjabi; Bengali,Power BI; Sales; Machine Learning; Java; Communication,6,"Kolkata, West Bengal",Published a project report,Sales forecasting model; E-commerce recommendation engine,Design Challenge Participant,Magazine article on Finance,Patent pending on Algorithm,22435,7,Engineering,Hybrid,gkamdar@srinivasan.com,9457922940,2025-12-10
BHARTIYA INTERNATIONAL LIMITED,"Visakhapatnam, Andhra Pradesh",63,69.52,52.73,B.A.,Oracle Certified,Coursera: Data Science,Chemical,Kannada; English; Punjabi,Sales; Power BI,0,"Bhopal, Madhya Pradesh",No notable achievements,Energy consumption optimization project; Customer segmentation analysis,Design Challenge Participant,Journal article on Renewable Energy,Patent on Process Optimization,34896,2,Consulting,Remote,waglereyansh@shetty.com,8219097801,2025-12-09
GLOBAL HEALTH LIMITED,"New Delhi, Delhi",69,96.64,73.3,Diploma,Oracle Certified,,Biotechnology,English; Telugu; Punjabi,Tableau; Marketing; MS Excel; Communication,12,"Bengaluru, Karnataka",Internship at local startup,Automated invoice processing; Sales forecasting model,None,No publications,Patent on Sensor Design,30716,10,HR,Onsite,divijupadhyay@kale.com,7183335447,2026-03-02
